"","date","patch_name","stand_type","trap_name","x_quercus","x_pinus","stand_area_ha","mass_g","moth_count","muck_mass","other_species_in_lab","field_notes","lab_notes"
"1","15/07/2024","Mont Saint Hilaire","Oak","MSHOak1.1",0.6,0,8.5,0,0,NA,0,"no moths ",NA
"2","15/07/2024","Mont Saint Hilaire","Oak","MSHOak1.2",0.6,0,8.5,0,0,NA,0,"no moths ",NA
"3","15/07/2024","Mont Saint Hilaire","Oak","MSHOak1.3",0.6,0,8.5,0.0929,1,NA,0,NA,NA
"4","15/07/2024","Mont Saint Hilaire","Oak","MSHOak1.4",0.6,0,8.5,0.1308,3,NA,0,NA,NA
"5","15/07/2024","Mont Saint Hilaire","Oak/Pine","MSH2Oak1.1",0.3,0.2,7.6,0,0,NA,0,"no moths ",NA
"6","15/07/2024","Mont Saint Hilaire","Oak/Pine","MSH2Oak1.2",0.3,0.2,7.6,0,0,NA,0,"no moths ",NA
"7","16/07/2024","Mont Saint Hilaire","Pine","MSHPine1.1",0,0.7,3.8,0.136,2,NA,0,NA,NA
"8","16/07/2024","Mont Saint Hilaire","Oak/Pine","MSH2Oak1.3",0.3,0.2,7.6,0,0,NA,0,"no moths ",NA
"9","16/07/2024","Mont Saint Hilaire","Pine/Oak","MSHOP1.1",0.3,0.4,3.5,0.0567,1,NA,0,"2 tussoch moths",NA
"10","16/07/2024","Mont Saint Hilaire","Pine/Oak","MSHOP1.2",0.3,0.4,3.5,NA,NA,NA,NA,"MISSING IN FIELD",NA
"11","16/07/2024","Mont Saint Hilaire","Oak/Pine","MSHOP2.1",0.6,0.1,5.7,0,0,NA,0,"no moths ",NA
"12","16/07/2024","Mont Saint Hilaire","Oak/Pine","MSHOP2.2",0.6,0.1,5.7,0,0,NA,0,"no moths ",NA
"13","16/07/2024","Mont Saint Hilaire","Oak/Pine","MSHOP2.3",0.6,0.1,5.7,0.0445,1,NA,0,"1 tussoch moth",NA
"14","15/07/2024","Mont Saint Hilaire","MOM","MSHMOM",0.1,0,4.8,0,0,NA,0,"no moths ",NA
"15","15/07/2024","Mont Saint Hilaire","MOM","MSH2MOM",0.1,0,4.8,0,0,NA,0,"no moths ",NA
"16","15/07/2024","Mont Saint Hilaire","MOM","MSH2MOM2",0.1,0,4.8,0,0,NA,0,"no moths ",NA
"17","16/07/2024","Mont Saint Hilaire","Oak/Pine","MSH2Oak1.4",0.3,0.2,7.6,0,0,NA,0,"no moths ",NA
"18","17/07/2024","Orford","Pine","MO2Pine2.1",0,0.8,6.8,0,0,NA,0,"no moths ",NA
"19","17/07/2024","Orford","Pine","MO2Pine2.2",0,0.8,6.8,0,0,NA,0,"no moths ",NA
"20","17/07/2024","Orford","Pine","MO2Pine1.1",0,0.7,3.7,0,0,NA,0,"no moths ",NA
"21","17/07/2024","Orford","Pine","MO2Pine1.2",0,0.7,3.7,0,0,NA,0,"trap found open at bottom - closed back up ",NA
"22","17/07/2024","Orford","Oak","MO2Oak1.1",0.4,0.2,8.1,0,0,NA,0,"no moths ",NA
"23","17/07/2024","Orford","Oak","MO2Oak 1.2",0.4,0.2,8.1,0,0,NA,0,"2 tussoch moths",NA
"24","17/07/2024","Orford","Oak","MO2Oak1.3",0.4,0.2,8.1,0,0,NA,0,"no moths ",NA
"25","17/07/2024","Orford","Pine","MO2Pine3.1",0,0.5,4.3,0,0,NA,0,"no moths ",NA
"26","17/07/2024","Orford","Pine","MO2Pine3.2",0,0.5,4.3,0,0,NA,0,"1 unknown moth",NA
"27","17/07/2024","Orford","MOM","MO2MOM",0,0,4.6,0,0,NA,0,"no moths ",NA
"28","18/07/2024","Orford","MOM","MOMOM",0,0.2,5.9,0,0,NA,0,"no moths ",NA
"29","18/07/2024","Orford","Oak","MOOak1.1",0.5,0,7.1,0,0,NA,0,"no moths ",NA
"30","18/07/2024","Orford","Oak","MOOak1.2",0.5,0,7.1,0,0,NA,0,"no moths ",NA
"31","18/07/2024","Orford","Oak","MOOak1.3",0.5,0,7.1,0,0,NA,0,"no moths ",NA
"32","18/07/2024","Orford","Oak","MOOak2.1",0.8,0,7.8,0.1135,1,NA,0,NA,NA
"33","18/07/2024","Orford","Oak","MOOak2.2",0.8,0,7.8,0,0,NA,0,"no moths ",NA
"34","18/07/2024","Orford","Oak","MOOak2.3",0.8,0,7.8,0,0,NA,0,"no moths ",NA
"35","18/07/2024","Orford","Oak","MOOak3.1",0.5,0,11.8,0,0,NA,0,"no moths ",NA
"36","18/07/2024","Orford","Oak","MOOak3.2",0.5,0,11.8,0,0,NA,0,"no moths ",NA
"37","18/07/2024","Orford","Oak","MOOak3.3",0.5,0,11.8,0,0,NA,0,"no moths ",NA
"38","18/07/2024","Orford","Pine","MOPine1.1",0,0.5,5.1,0,0,NA,0,"no moths ",NA
"39","18/07/2024","Orford","Pine","MOPine1.2",0,0.5,5.1,0,0,NA,0,"no moths ",NA
"40","18/07/2024","Orford","Pine","MOPine2.1",0,0.7,8.3,0,0,NA,0,"no moths ",NA
"41","18/07/2024","Orford","Pine","MOPine2.2",0,0.7,8.3,0.0986,1,NA,0,NA,NA
"42","18/07/2024","Orford","Pine","MOPine2.3",0,0.7,8.3,0,0,NA,0,"no moths ",NA
"43","18/07/2024","Orford","Pine","MO2Pine4.1",0,0.6,7.5,0.0212,1,NA,0,NA,NA
"44","18/07/2024","Orford","Pine","MO2Pine4.2",0,0.6,7.5,0.1166,1,NA,0,NA,NA
"45","22/07/2024","Oka","MOM","OkaMOM2",0,0,6.3,NA,23,NA,0,NA,NA
"46","22/07/2024","Oka","Oak","OkaOak1.1",0.4,0.1,8.1,7.4017,102,NA,0,NA,NA
"47","22/07/2024","Oka","Oak","OkaOak1.2",0.4,0.1,8.1,4.6585,61,NA,0,NA,NA
"48","22/07/2024","Oka","Oak","OkaOak1.3",0.4,0.1,8.1,3.345,43,NA,0,NA,NA
"49","22/07/2024","Oka","Oak","OkaOak1.4",0.4,0.1,8.1,3.0355,38,NA,0,NA,NA
"50","22/07/2024","Oka","Oak","OkaOak1.5",0.4,0.1,8.1,1.0043,13,NA,0,NA,NA
"51","22/07/2024","Oka","Oak","OkaOak1.6",0.4,0.1,8.1,3.6032,42,NA,1,NA,"tiny little ant thing "
"52","22/07/2024","Oka","Pine","OkaPine1.1",0.3,0.5,14.2,4.5115,56,NA,0,NA,NA
"53","22/07/2024","Oka","Pine","OkaPine1.2",0.3,0.5,14.2,2.9956,37,NA,0,NA,NA
"54","22/07/2024","Oka","Pine","OkaPine1.3",0.3,0.5,14.2,2.3188,27,NA,0,NA,NA
"55","22/07/2024","Oka","Pine","OkaPine1.4",0.3,0.5,14.2,1.3645,19,NA,1,NA,"tiny little beige moth found "
"56","22/07/2024","Oka","Pine","OkaPine1.5",0.3,0.5,14.2,2.2659,30,NA,0,NA,NA
"57","22/07/2024","Oka","Pine","OkaPine1.6",0.3,0.5,14.2,2.1692,26,NA,0,NA,NA
"58","22/07/2024","Oka","Pine","OkaPine1.7",0.3,0.5,14.2,1.4238,18,NA,0,NA,NA
"59","22/07/2024","Oka","Oak/Pine","OkaOP2.1",0.3,0.2,8,2.404,30,NA,0,NA,NA
"60","22/07/2024","Oka","Oak/Pine","OkaOP2.2",0.3,0.2,8,0.8939,12,NA,0,NA,NA
"61","22/07/2024","Oka","Oak/Pine","OkaOP2.3",0.3,0.2,8,7.078,93,NA,0,NA,NA
"62","22/07/2024","Oka","Pine","OkaPine2.1",0.3,0.5,12.6,7.822,115,NA,0,NA,NA
"63","22/07/2024","Oka","Pine","OkaPine2.2",0.3,0.5,12.6,5.473,76,NA,0,NA,NA
"64","22/07/2024","Oka","Pine","OkaPine2.3",0.3,0.5,12.6,2.6138,32,NA,0,NA,NA
"65","22/07/2024","Oka","Pine","OkaPine2.4",0.3,0.5,12.6,2.8068,33,NA,0,NA,NA
"66","22/07/2024","Oka","Pine","OkaPine2.5",0.3,0.5,12.6,1.0896,13,NA,0,NA,NA
"67","22/07/2024","Oka","MOM","OkaMOM1",0.3,0.1,19.1,NA,31,NA,0,NA,NA
"68","23/07/2024","Oka","Pine/Oak","OkaOP3.1",0.3,0.4,18,2.0223,28,NA,0,NA,NA
"69","23/07/2024","Oka","Pine/Oak","OkaOP3.2",0.3,0.4,18,1.5265,21,NA,0,NA,NA
"70","23/07/2024","Oka","Pine/Oak","OkaOP3.3",0.3,0.4,18,2.2873,27,NA,0,NA,NA
"71","23/07/2024","Oka","Pine/Oak","OkaOP3.4",0.3,0.4,18,2.3931,35,NA,0,NA,NA
"72","23/07/2024","Oka","Pine/Oak","OkaOP3.5",0.3,0.4,18,1.9842,27,NA,0,NA,NA
"73","23/07/2024","Oka","Pine/Oak","OkaOP3.6",0.3,0.4,18,4.2652,57,NA,0,"1 tussoch moth",NA
"74","23/07/2024","Oka","Oak/Pine","OkaOP1.1",0.3,0.3,8.3,6.2333,95,NA,0,NA,NA
"75","23/07/2024","Oka","Oak/Pine","OkaOP1.2",0.3,0.3,8.3,9.7215,144,NA,0,NA,NA
"76","23/07/2024","Oka","Oak/Pine","OkaOP1.3",0.3,0.3,8.3,5.5405,73,NA,0,NA,NA
"77","23/07/2024","Oka","Oak/Pine","OkaOP1.4",0.3,0.3,8.3,1.9245,29,NA,1,NA,"1 small fly"
"78","23/07/2024","Oka","Pine","OkaPine3.1",0.1,0.7,11.2,2.9515,36,NA,0,"1 tussoch moth",NA
"79","23/07/2024","Oka","Pine","OkaPine3.2",0.1,0.7,11.2,1.6721,22,NA,0,NA,NA
"80","23/07/2024","Oka","Pine","OkaPine3.3",0.1,0.7,11.2,1.8873,24,NA,0,NA,NA
"81","23/07/2024","Oka","Pine","OkaPine3.4",0.1,0.7,11.2,1.3805,17,NA,0,NA,NA
"82","23/07/2024","Oka","Pine","OkaPine3.5",0.1,0.7,11.2,1.3278,17,NA,0,NA,NA
"83","24/07/2024","Notre Dame de Bonsecours","Oak","NDBOak1.1",0.7,0,7.8,1.6175,19,NA,0,NA,NA
"84","24/07/2024","Notre Dame de Bonsecours","Oak","NDBOak1.2",0.7,0,7.8,1.7895,21,NA,2,NA,"1 small spider and Daddy long leg body"
"85","24/07/2024","Notre Dame de Bonsecours","Oak","NDBOak1.3",0.7,0,7.8,1.6605,17,NA,1,NA,"Daddy long leg body + legs"
"86","24/07/2024","Notre Dame de Bonsecours","Oak","NDBOak1.4",0.7,0,7.8,1.9685,24,NA,0,NA,NA
"87","24/07/2024","Notre Dame de Bonsecours","Pine","NBDPine2.1",0,0.8,4.4,0.5109,6,NA,0,"1 tussoch moth",NA
"88","24/07/2024","Notre Dame de Bonsecours","Pine","NBDPine2.2",0,0.8,4.4,1.0186,12,NA,0,"beetles and lots of flies ",NA
"89","25/07/2024","Papineauville","Oak","PAPOak1.1",0.5,0.1,5.9,2.9672,31,NA,0,NA,NA
"90","25/07/2024","Papineauville","Oak","PAPOak1.2",0.5,0.1,5.9,2.1857,22,NA,0,NA,NA
"91","25/07/2024","Papineauville","Oak","PAPOak2.1",0.8,0,7.3,2.9965,31,NA,0,NA,NA
"92","25/07/2024","Papineauville","Oak","PAPOak2.2",0.8,0,7.3,3.4798,39,NA,0,NA,NA
"93","25/07/2024","Papineauville","Oak/Pine","PAPOP1.1",0.3,0.3,4.8,3.5277,37,NA,0,NA,NA
"94","25/07/2024","Papineauville","Oak/Pine","PAPOP1.2",0.3,0.3,4.8,3.4245,36,NA,0,NA,NA
"95","25/07/2024","Montebello","Oak","MontOak1.1",0.7,0,4.8,5.2375,57,NA,0,NA,NA
"96","25/07/2024","Montebello","Oak","MontOak1.2",0.7,0,4.8,4.2615,35,NA,0,NA,NA
"97","25/07/2024","Montebello","Pine","MontPine2.1",0.3,0.4,7.6,4.3329,44,NA,0,NA,NA
"98","25/07/2024","Montebello","Pine","MontPine2.2",0.3,0.4,7.6,0.9917,12,NA,0,NA,NA
"99","25/07/2024","Montebello","Pine","MontPine2.3",0.3,0.4,7.6,1.9502,22,NA,0,NA,NA
"100","25/07/2024","Montebello","MOM","MontMOM",0.1,0,5.7,NA,21,NA,0,NA,NA
"101","25/07/2024","Montebello","Oak","MontOak2.1",0.8,0.1,7.5,0.7036,8,NA,0,NA,NA
"102","25/07/2024","Montebello","Oak","MontOak2.2",0.8,0.1,7.5,2.2237,26,NA,0,NA,NA
"103","25/07/2024","Montebello","Pine","MontPine1.1",0.3,0.6,12.2,1.1568,12,NA,4,NA,"4 black flies big and small"
"104","25/07/2024","Montebello","Pine","MontPine1.2",0.3,0.6,12.2,2.1763,23,NA,0,NA,NA
"105","25/07/2024","Montebello","Oak/Pine","Mont2OP2.1",0.5,0.4,9.7,1.8106,20,NA,0,NA,"20 intact moths + 1 head and 4 wings = 21"
"106","25/07/2024","Montebello","Oak/Pine","Mont2OP2.2",0.5,0.4,9.7,2.6337,30,NA,0,NA,NA
"107","25/07/2024","Montebello","Pine","Mont2Pine1.1",0,0.8,8.2,1.1575,14,NA,0,"already a lot of beetles - moths seem to be largely intact",NA
"108","25/07/2024","Montebello","Pine","Mont2Pine1.2",0,0.8,8.2,4.8233,49,NA,0,NA,NA
"109","25/07/2024","Montebello","Pine/Oak","Mont2OP1.1",0.2,0.4,8.7,1.5639,16,NA,0,NA,NA
"110","25/07/2024","Montebello","Pine/Oak","Mont2OP1.2",0.2,0.4,8.7,1.1219,11,NA,0,NA,NA
"111","26/07/2024","Notre Dame de Bonsecours","Oak/Pine","NDBOP1.1",0.4,0.3,5.5,NA,NA,NA,NA,"Trap completely demolished removed July 26",NA
"112","26/07/2024","Notre Dame de Bonsecours","MOM","NDBMOM",0.3,0,4.9,NA,57,NA,0,"already had beetles ",NA
"113","26/07/2024","Notre Dame de Bonsecours","Pine","NDBPine1.1",0.2,0.3,4.9,6.6011,68,NA,0,NA,NA
"114","26/07/2024","Notre Dame de Bonsecours","Oak/Pine","NDBOP2.1",0.4,0.3,5.5,2.8689,30,NA,0,NA,NA
"115","26/07/2024","Notre Dame de Bonsecours","Oak/Pine","NDBOP2.2",0.4,0.3,5.5,4.5682,46,NA,2,NA,"2 daddy long legs"
"116","26/07/2024","Notre Dame de Bonsecours","Oak/Pine","NDBOP2.3",0.4,0.3,5.5,3.7044,42,NA,0,NA,NA
"117","29/07/2024","Rigaud","Pine/Oak","RigOP1.1",0.2,0.4,9.4,0.6396,10,NA,1,NA,"1 small spider"
"118","29/07/2024","Rigaud","Pine/Oak","RigOP1.2",0.2,0.4,9.4,0.4017,5,NA,0,NA,NA
"119","29/07/2024","Rigaud","Pine/Oak","RigOP1.3",0.2,0.4,9.4,0.5924,8,NA,0,NA,NA
"120","29/07/2024","Rigaud","Oak/Pine","RigOP2.1",0.4,0.2,6.5,4.0153,61,NA,0,NA,NA
"121","29/07/2024","Rigaud","Oak/Pine","RigOP2.2",0.4,0.2,6.5,1.8852,22,NA,0,NA,NA
"122","29/07/2024","Rigaud","Oak/Pine","RigOP3.1",0.4,0.2,9.4,0.5131,7,NA,0,NA,NA
"123","29/07/2024","Rigaud","Oak/Pine","RigOP3.2",0.4,0.2,9.4,3.1413,36,NA,0,NA,NA
"124","29/07/2024","Rigaud","Oak/Pine","RigOP3.3",0.4,0.2,9.4,0.2639,6,NA,0,"trap torn on one side, may have lost some moths (taped up)",NA
"125","29/07/2024","Rigaud","Pine","RigPine2.1",0.1,0.6,8.3,1.0678,12,NA,0,NA,NA
"126","29/07/2024","Rigaud","Pine","RigPine2.2",0.1,0.6,8.3,0.2437,3,NA,0,NA,NA
"127","29/07/2024","Rigaud","Pine","RigPine2.3",0.1,0.6,8.3,1.7554,19,NA,0,NA,NA
"128","29/07/2024","Rigaud","Pine","RigPine3.1",0,0.7,3.6,2.0149,25,NA,0,NA,NA
"129","29/07/2024","Rigaud","Pine","RigPine3.2",0,0.7,3.6,0.5344,7,NA,0,NA,NA
"130","30/07/2024","Rigaud","Oak/Pine","RigOP4.1",0.3,0.2,5.3,0.3639,11,NA,4,"a lot of muck, only able to collect a few moths pieces ","11 somewhat intact moths + 4 wings = 11 because no other bodies/heads. Also a couple of flies and other tiny insect body parts"
"131","30/07/2024","Rigaud","Oak/Pine","RigOP4.2",0.3,0.2,5.3,2.3154,35,NA,20,"3 beetles but moths intact","many tiny little flies "
"132","30/07/2024","Rigaud","Oak","RigOak1.1",0.7,0.1,8.4,1.9312,25,NA,5,NA,"tiny little flies"
"133","30/07/2024","Rigaud","Oak","RigOak1.2",0.7,0.1,8.4,2.6175,33,NA,0,NA,NA
"134","30/07/2024","Rigaud","Oak","RigOak1.3",0.7,0.1,8.4,1.4477,17,NA,0,NA,NA
"135","30/07/2024","Rigaud","Oak","RigOak1.4",0.7,0.1,8.4,2.1446,30,NA,0,NA,NA
"136","30/07/2024","Rigaud","Oak","RigOak1.5",0.7,0.1,8.4,6.4402,82,NA,0,NA,NA
"137","30/07/2024","Rigaud","Pine","RigPine4.1",0.2,0.5,3.5,4.1022,51,NA,0,"1 unidentified moth",NA
"138","30/07/2024","Rigaud","Pine","RigPine5.1",0.1,0.5,6.4,4.0068,55,NA,0,NA,NA
"139","30/07/2024","Rigaud","Oak/Pine","RigOP5.1",0.3,0.2,7.6,5.0103,67,NA,0,NA,NA
"140","30/07/2024","Rigaud","MOM","RigMOM",0.2,0,7.3,NA,76,NA,0,NA,NA
"141","01/08/2024","Mont Saint Hilaire","MOM","MSH2MOM2",0.1,0,4.8,NA,6,NA,0,"little decomposition",NA
"142","01/08/2024","Mont Saint Hilaire","MOM","MSH2MOM",0.1,0,4.8,NA,6,NA,0,"little decomposition",NA
"143","01/08/2024","Mont Saint Hilaire","MOM","MSHMOM",0.1,0,4.8,NA,19,NA,0,"some decomposition ",NA
"144","01/08/2024","Mont Saint Hilaire","Oak","MSH2Oak1.1",0.3,0.2,7.6,0.2354,3,NA,0,"little decomposition",NA
"145","01/08/2024","Mont Saint Hilaire","Oak","MSH2Oak1.2",0.3,0.2,7.6,0.9479,13,NA,0,"little decomposition",NA
"146","01/08/2024","Mont Saint Hilaire","Oak","MSH2Oak1.3",0.3,0.2,7.6,0.2519,4,NA,0,"few moths ",NA
"147","01/08/2024","Mont Saint Hilaire","Oak","MSH2Oak1.4",0.3,0.2,7.6,2.5012,32,NA,0,"2 tussoch moths",NA
"148","01/08/2024","Mont Saint Hilaire","Oak","MSHOak1.1",0.6,0,8.5,0.1414,2,NA,0,"little decomposition",NA
"149","01/08/2024","Mont Saint Hilaire","Oak","MSHOak1.2",0.6,0,8.5,2.9702,31,NA,0,"little decomposition",NA
"150","01/08/2024","Mont Saint Hilaire","Oak","MSHOak1.3",0.6,0,8.5,3.3886,36,NA,0,"some decomposition ",NA
"151","01/08/2024","Mont Saint Hilaire","Oak","MSHOak1.4",0.6,0,8.5,NA,NA,NA,NA,"Trap bottom slightly opened, not moths in or around the trap, taped up",NA
"152","01/08/2024","Mont Saint Hilaire","Pine","MSHPine1.1",0,0.7,3.8,6.5669,108,NA,0,"lots of moths, little decomposition",NA
"153","05/08/2024","Mont Royal","Oak/Pine","MROP1.1",0.4,0.1,8.9,3.1754,55,NA,0,NA,NA
"154","05/08/2024","Mont Royal","Oak/Pine","MROP1.2",0.4,0.1,8.9,1.0114,20,NA,0,NA,NA
"155","05/08/2024","Mont Royal","Oak/Pine","MROP1.3",0.4,0.1,8.9,0.7044,13,NA,0,NA,NA
"156","05/08/2024","Mont Royal","Oak/Pine","MROP1.4",0.4,0.1,8.9,0.8113,16,NA,0,NA,NA
"157","05/08/2024","Mont Royal","Oak","MROak2.1",0.8,0,6.4,0.797,15,NA,0,NA,NA
"158","05/08/2024","Mont Royal","Oak","MROak1.1",0.6,0,8.6,0.5771,7,NA,0,NA,NA
"159","05/08/2024","Mont Royal","Oak","MROak1.2",0.6,0,8.6,0.9821,20,NA,0,NA,NA
"160","05/08/2024","Mont Royal","Oak","MROak1.3",0.6,0,8.6,0.3457,6,NA,0,NA,NA
"161","05/08/2024","Mont Royal","Pine","MRPine1.1",0.4,0,14,1.09,24,NA,0,NA,NA
"162","05/08/2024","Mont Royal","MOM","MRMOM",0.4,0,14,NA,93,NA,0,NA,NA
"163","05/08/2024","Mont Royal","Oak","MROak3.1",0.4,0,11.7,4.9294,95,NA,0,NA,NA
"164","05/08/2024","Mont Royal","Oak","MROak3.2",0.4,0,11.7,2.6527,49,NA,0,NA,NA
"165","05/08/2024","Mont Royal","Oak","MROak3.3",0.4,0,11.7,NA,NA,NA,NA,"Trap missing, seems to have been removed",NA
"166","15/08/2024","Orford","Pine","MO2Pine2.1",0,0.8,6.8,1.742,42,NA,0,NA,"all intact, wings disregarded"
"167","15/08/2024","Orford","Pine","MO2Pine2.2",0,0.8,6.8,2.3519,53,NA,1,NA,"1 small beetle, wings disregarded"
"168","15/08/2024","Orford","Pine","MO2Pine1.1",0,0.7,3.7,0.8648,21,NA,0,NA,"all intact, wings disregarded "
"169","15/08/2024","Orford","Pine","MO2Pine1.2",0,0.7,3.7,1.0668,27,NA,0,NA,"all intact, no wings "
"170","15/08/2024","Orford","Oak","MO2Oak1.1",0.4,0.2,8.1,5.947,141,NA,0,"Mostly in-tact moths, some beetle, some decomp","mostly intact moths, disregarded wings since moths were intact, bodies were added to total moths "
"171","15/08/2024","Orford","Oak","MO2Oak 1.2",0.4,0.2,8.1,5.592,131,NA,3,"4 non-spongy moths moths, mostly intact, some decomp","3 small flies, 131 intact moths, added the moth bodies (bodies with heads) to total number, wings disregarded"
"172","15/08/2024","Orford","Oak","MO2Oak1.3",0.4,0.2,8.1,2.4693,52,25,8,"intact moths + more advanced stage of decomp ","many smal flies and 1 beetle, mostly in-tact moths + bodies + heads = total, wings disregarded"
"173","15/08/2024","Orford","Pine","MO2Pine3.1",0,0.5,4.3,3.894,85,NA,2,"1 non spongy moth, some fungus on the moths","a few small flies, wings disregarded since moths are intact "
"174","15/08/2024","Orford","Pine","MO2Pine3.2",0,0.5,4.3,3.1737,73,NA,0,NA,"moths intact, disregarded wings "
"175","15/08/2024","Orford","MOM","MO2MOM",0,0,4.6,2.6637,69,17.25,7,"some intact moths, many beetles, relatively advanced stage of decomp ","lots of decomposition, very difficult to count wings so the number is not accurate, wings were disregarded, total moth = body + heads + moth count "
"176","15/08/2024","Orford","Pine","MO2Pine4.1",0,0.6,7.5,4.2801,105,NA,3,NA,"1 fly, 1 spider, 1 earwig"
"177","15/08/2024","Orford","Pine","MO2Pine4.2",0,0.6,7.5,4.3327,103,NA,3,NA,"1 non-spongy moth, 2 earwigs, 1 fly"
"178","16/08/2024","Orford","MOM","MOMOM",0,0.2,5.9,10.416,254,24,9,"moth in medium level of decomp, powdery but not moldy","decomposition made counting wings hard, total count = body + heads + moths + 1 live moth that flew away, wings disregarded"
"179","16/08/2024","Orford","Oak","MOOak1.1",0.5,0,7.1,19.761,378,NA,2,"1 beetle","1 fly, 1 beetle"
"180","16/08/2024","Orford","Oak","MOOak1.2",0.5,0,7.1,6.1547,139,NA,2,"1 live moth flew away (ADDED TO TOTAL)","1 beetle, 1 stink bug,"
"181","16/08/2024","Orford","Oak","MOOak1.3",0.5,0,7.1,14.318,263,NA,2,"several beetles but all moths intact ","2 flies"
"182","16/08/2024","Orford","Oak","MOOak2.1",0.8,0,7.8,5.1015,144,19.5,6,"moths in medium level of decomp","6 tiny flies, lots of decomp, wings hard to count and disregarded, total count = body + heads + moths"
"183","16/08/2024","Orford","Oak","MOOak2.2",0.8,0,7.8,4.5178,91,NA,2,NA,"moths intact, 2 flies"
"184","16/08/2024","Orford","Oak","MOOak2.3",0.8,0,7.8,5.0056,108,NA,0,"1 moth flew away (ADDED TO TOTAL)","moths intact, wing disregarded, total moths = moth count + 1 live moth"
"185","16/08/2024","Orford","Oak","MOOak3.1",0.5,0,11.8,7.0338,142,NA,2,"some beetles, moths mostly intact, some decomp","total moths = count + bodies, wings disregarded, 2 beetles"
"186","16/08/2024","Orford","Oak","MOOak3.2",0.5,0,11.8,4.681,93,NA,2,"a few beetles, dropped 1 moth (ADDED TO TOTAL)","2 large flies, total moths = count + dropped moth, wings disregarded"
"187","16/08/2024","Orford","Oak","MOOak3.3",0.5,0,11.8,1.5711,37,NA,0,"few beetles ","intact moths "
"188","16/08/2024","Orford","Pine","MOPine1.1",0,0.5,5.1,3.1984,86,NA,0,NA,"16 tiny flies, moths intact"
"189","16/08/2024","Orford","Pine","MOPine1.2",0,0.5,5.1,4.7583,114,NA,4,NA,"1 harvestmen, 3 flies"
"190","16/08/2024","Orford","Pine","MOPine2.1",0,0.7,8.3,2.677,78,NA,2,"one beetle ","2 tiny flies, wings disregarded"
"191","16/08/2024","Orford","Pine","MOPine2.2",0,0.7,8.3,2.3127,53,NA,2,NA,"2 tiny flies, wings disregarded"
"192","16/08/2024","Orford","Pine","MOPine2.3",0,0.7,8.3,2.549,65,NA,5,NA,"5 tiny flies"
"193","20/08/2024","Oka","Oak","OkaOak1.1",0.4,0.1,8.1,7.1054,161,NA,4,"2 american dagger moths in trap","1 spider, 3 flies, total moths = moth count + bodies , wings ignored"
